lark,original_name,image_ark,aleph_barcode,aleph_sys_no,category,example,help,question,title
ark:/81055/vdc_100022589162.0x000002,015414447_3250_Playbills 414 0079.tif,ark:/81055/vdc_100022589161.0x000009,VDC_100022589162.0X000001,016661411,dates,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/1150,170,1050,100/300,/0/default.jpg",Each playbill usually gives details on or more plays being performed on a particular date. Dates for any plays being shown on following days can be ignored.,"Draw a rectangle around the dates of this play, if shown.",Dates
ark:/81055/vdc_100022589162.0x000002,015414447_3306_Playbills 414 0023.tif,ark:/81055/vdc_100022589161.0x00000a,VDC_100022589162.0X000001,016661411,play,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000060/300,2720,2000,900/300,/0/default.jpg","Multiple plays were often performed on the same day, a rectangle should be drawn around each. Any upcoming plays that are mentioned can be ignored.",Draw a rectangle around each play being performed.,Play
ark:/81055/vdc_100022589162.0x000002,015414447_3306_Playbills 414 0023.tif,ark:/81055/vdc_100022589161.0x00000a,VDC_100022589162.0X000001,016661411,title,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/600,800,1750,280/300,/0/default.jpg","Along with the main performance additional plays were often be performed on the same day, a rectangle should be drawn around the title for each of these.",Draw a rectangle around each title (and subtitle) listed.,Title
ark:/81055/vdc_100022589162.0x000002,015414447_3306_Playbills 414 0023.tif,ark:/81055/vdc_100022589161.0x00000a,VDC_100022589162.0X000001,016661411,actor_and_role,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/900,1310,1200,80/300,/0/default.jpg",A single rectangle should be drawn around around each actor and role.,Draw a rectangle around each actor and role listed.,Actor and Role
ark:/81055/vdc_100022589162.0x000002,015414447_3306_Playbills 414 0023.tif,ark:/81055/vdc_100022589161.0x00000a,VDC_100022589162.0X000001,016661411,dates,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/1150,170,1050,100/300,/0/default.jpg",Each playbill usually gives details on or more plays being performed on a particular date. Dates for any plays being shown on following days can be ignored.,"Draw a rectangle around the dates of this play, if shown.",Dates
ark:/81055/vdc_100022589162.0x000002,015414447_3273_Playbills 414 0005.tif,ark:/81055/vdc_100022589161.0x00000b,VDC_100022589162.0X000001,016661411,play,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000060/300,2720,2000,900/300,/0/default.jpg","Multiple plays were often performed on the same day, a rectangle should be drawn around each. Any upcoming plays that are mentioned can be ignored.",Draw a rectangle around each play being performed.,Play
ark:/81055/vdc_100022589162.0x000002,015414447_3273_Playbills 414 0005.tif,ark:/81055/vdc_100022589161.0x00000b,VDC_100022589162.0X000001,016661411,title,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/600,800,1750,280/300,/0/default.jpg","Along with the main performance additional plays were often be performed on the same day, a rectangle should be drawn around the title for each of these.",Draw a rectangle around each title (and subtitle) listed.,Title
ark:/81055/vdc_100022589162.0x000002,015414447_3273_Playbills 414 0005.tif,ark:/81055/vdc_100022589161.0x00000b,VDC_100022589162.0X000001,016661411,actor_and_role,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/900,1310,1200,80/300,/0/default.jpg",A single rectangle should be drawn around around each actor and role.,Draw a rectangle around each actor and role listed.,Actor and Role
ark:/81055/vdc_100022589162.0x000002,015414447_3273_Playbills 414 0005.tif,ark:/81055/vdc_100022589161.0x00000b,VDC_100022589162.0X000001,016661411,dates,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/1150,170,1050,100/300,/0/default.jpg",Each playbill usually gives details on or more plays being performed on a particular date. Dates for any plays being shown on following days can be ignored.,"Draw a rectangle around the dates of this play, if shown.",Dates
ark:/81055/vdc_100022589162.0x000002,015414447_3272_Playbills 414 0070.tif,ark:/81055/vdc_100022589161.0x00000c,VDC_100022589162.0X000001,016661411,play,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000060/300,2720,2000,900/300,/0/default.jpg","Multiple plays were often performed on the same day, a rectangle should be drawn around each. Any upcoming plays that are mentioned can be ignored.",Draw a rectangle around each play being performed.,Play
ark:/81055/vdc_100022589162.0x000002,015414447_3272_Playbills 414 0070.tif,ark:/81055/vdc_100022589161.0x00000c,VDC_100022589162.0X000001,016661411,title,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/600,800,1750,280/300,/0/default.jpg","Along with the main performance additional plays were often be performed on the same day, a rectangle should be drawn around the title for each of these.",Draw a rectangle around each title (and subtitle) listed.,Title
ark:/81055/vdc_100022589162.0x000002,015414447_3272_Playbills 414 0070.tif,ark:/81055/vdc_100022589161.0x00000c,VDC_100022589162.0X000001,016661411,actor_and_role,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/900,1310,1200,80/300,/0/default.jpg",A single rectangle should be drawn around around each actor and role.,Draw a rectangle around each actor and role listed.,Actor and Role
ark:/81055/vdc_100022589162.0x000002,015414447_3272_Playbills 414 0070.tif,ark:/81055/vdc_100022589161.0x00000c,VDC_100022589162.0X000001,016661411,dates,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/1150,170,1050,100/300,/0/default.jpg",Each playbill usually gives details on or more plays being performed on a particular date. Dates for any plays being shown on following days can be ignored.,"Draw a rectangle around the dates of this play, if shown.",Dates
ark:/81055/vdc_100022589162.0x000002,015414447_3319_Playbills 414 0003.tif,ark:/81055/vdc_100022589161.0x00000d,VDC_100022589162.0X000001,016661411,play,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000060/300,2720,2000,900/300,/0/default.jpg","Multiple plays were often performed on the same day, a rectangle should be drawn around each. Any upcoming plays that are mentioned can be ignored.",Draw a rectangle around each play being performed.,Play
ark:/81055/vdc_100022589162.0x000002,015414447_3319_Playbills 414 0003.tif,ark:/81055/vdc_100022589161.0x00000d,VDC_100022589162.0X000001,016661411,title,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/600,800,1750,280/300,/0/default.jpg","Along with the main performance additional plays were often be performed on the same day, a rectangle should be drawn around the title for each of these.",Draw a rectangle around each title (and subtitle) listed.,Title
ark:/81055/vdc_100022589162.0x000002,015414447_3319_Playbills 414 0003.tif,ark:/81055/vdc_100022589161.0x00000d,VDC_100022589162.0X000001,016661411,actor_and_role,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/900,1310,1200,80/300,/0/default.jpg",A single rectangle should be drawn around around each actor and role.,Draw a rectangle around each actor and role listed.,Actor and Role
ark:/81055/vdc_100022589162.0x000002,015414447_3319_Playbills 414 0003.tif,ark:/81055/vdc_100022589161.0x00000d,VDC_100022589162.0X000001,016661411,dates,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/1150,170,1050,100/300,/0/default.jpg",Each playbill usually gives details on or more plays being performed on a particular date. Dates for any plays being shown on following days can be ignored.,"Draw a rectangle around the dates of this play, if shown.",Dates
ark:/81055/vdc_100022589162.0x000002,015414447_3267_Playbills 414 0033.tif,ark:/81055/vdc_100022589161.0x00000e,VDC_100022589162.0X000001,016661411,play,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000060/300,2720,2000,900/300,/0/default.jpg","Multiple plays were often performed on the same day, a rectangle should be drawn around each. Any upcoming plays that are mentioned can be ignored.",Draw a rectangle around each play being performed.,Play
ark:/81055/vdc_100022589162.0x000002,015414447_3267_Playbills 414 0033.tif,ark:/81055/vdc_100022589161.0x00000e,VDC_100022589162.0X000001,016661411,title,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/600,800,1750,280/300,/0/default.jpg","Along with the main performance additional plays were often be performed on the same day, a rectangle should be drawn around the title for each of these.",Draw a rectangle around each title (and subtitle) listed.,Title
ark:/81055/vdc_100022589162.0x000002,015414447_3267_Playbills 414 0033.tif,ark:/81055/vdc_100022589161.0x00000e,VDC_100022589162.0X000001,016661411,actor_and_role,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/900,1310,1200,80/300,/0/default.jpg",A single rectangle should be drawn around around each actor and role.,Draw a rectangle around each actor and role listed.,Actor and Role
ark:/81055/vdc_100022589162.0x000002,015414447_3267_Playbills 414 0033.tif,ark:/81055/vdc_100022589161.0x00000e,VDC_100022589162.0X000001,016661411,dates,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/1150,170,1050,100/300,/0/default.jpg",Each playbill usually gives details on or more plays being performed on a particular date. Dates for any plays being shown on following days can be ignored.,"Draw a rectangle around the dates of this play, if shown.",Dates
ark:/81055/vdc_100022589162.0x000002,015414447_3252_Playbills 414 0031.tif,ark:/81055/vdc_100022589161.0x00000f,VDC_100022589162.0X000001,016661411,play,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000060/300,2720,2000,900/300,/0/default.jpg","Multiple plays were often performed on the same day, a rectangle should be drawn around each. Any upcoming plays that are mentioned can be ignored.",Draw a rectangle around each play being performed.,Play
ark:/81055/vdc_100022589162.0x000002,015414447_3252_Playbills 414 0031.tif,ark:/81055/vdc_100022589161.0x00000f,VDC_100022589162.0X000001,016661411,title,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/600,800,1750,280/300,/0/default.jpg","Along with the main performance additional plays were often be performed on the same day, a rectangle should be drawn around the title for each of these.",Draw a rectangle around each title (and subtitle) listed.,Title
ark:/81055/vdc_100022589162.0x000002,015414447_3252_Playbills 414 0031.tif,ark:/81055/vdc_100022589161.0x00000f,VDC_100022589162.0X000001,016661411,actor_and_role,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/900,1310,1200,80/300,/0/default.jpg",A single rectangle should be drawn around around each actor and role.,Draw a rectangle around each actor and role listed.,Actor and Role
ark:/81055/vdc_100022589162.0x000002,015414447_3252_Playbills 414 0031.tif,ark:/81055/vdc_100022589161.0x00000f,VDC_100022589162.0X000001,016661411,dates,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/1150,170,1050,100/300,/0/default.jpg",Each playbill usually gives details on or more plays being performed on a particular date. Dates for any plays being shown on following days can be ignored.,"Draw a rectangle around the dates of this play, if shown.",Dates
ark:/81055/vdc_100022589162.0x000002,015414447_3314_Playbills 414 0066.tif,ark:/81055/vdc_100022589161.0x000010,VDC_100022589162.0X000001,016661411,play,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000060/300,2720,2000,900/300,/0/default.jpg","Multiple plays were often performed on the same day, a rectangle should be drawn around each. Any upcoming plays that are mentioned can be ignored.",Draw a rectangle around each play being performed.,Play
ark:/81055/vdc_100022589162.0x000002,015414447_3314_Playbills 414 0066.tif,ark:/81055/vdc_100022589161.0x000010,VDC_100022589162.0X000001,016661411,title,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/600,800,1750,280/300,/0/default.jpg","Along with the main performance additional plays were often be performed on the same day, a rectangle should be drawn around the title for each of these.",Draw a rectangle around each title (and subtitle) listed.,Title
ark:/81055/vdc_100022589162.0x000002,015414447_3314_Playbills 414 0066.tif,ark:/81055/vdc_100022589161.0x000010,VDC_100022589162.0X000001,016661411,actor_and_role,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100022588702.0x000059/900,1310,1200,80/300,/0/default.jpg",A single rectangle should be drawn around around each actor and role.,Draw a rectangle around each actor and role listed.,Actor and Role
